month,count
2018-03,3
2018-04,4
2018-05,3
2018-06,4
2018-07,0
2018-08,2
2018-09,8
2018-10,3
2018-11,1
2018-12,2
2019-01,5
2019-02,3
2019-03,1
2019-05,0
2019-06,5
2019-07,5
2019-08,3
2019-09,4
2019-10,7
2019-11,2
2019-12,9
2020-01,7
2020-02,3
2020-03,2
2020-04,2
2020-05,5
2020-06,6
2020-07,10
2020-08,4
2020-09,4
2020-10,2
2020-11,2
2020-12,0
2021-01,7
2021-02,5
2021-03,6
