month,count
2018-10,0
2018-07,0
2018-09,4
2018-05,1
2018-12,1
2018-03,1
2018-04,0
2018-11,2
2018-08,9
2018-06,0
2019-11,733
2019-06,9
2019-01,1
2019-08,11
2019-03,0
2019-02,2
2019-12,635
2019-10,46
2019-09,24
2019-07,9
2019-05,1
2020-02,409
2020-05,449
2020-12,328
2020-10,526
2020-09,373
2020-07,645
2020-11,384
2020-06,553
2020-01,373
2020-08,578
2020-04,338
2020-03,488
2021-03,270
2021-01,321
2021-02,472
